,discount,learning rate,dec temp,weight,prior weight,prior lr,subject
77,0.9573473,0.78186053,4.3980007,0.15386406,1.0450655,0.74974585,77
78,0.29245085,0.45883211,4.734894,0.47239453,5.402485,0.20802191,78
79,0.6287719,0.06893561,1.0951356,0.84596974,1.6578562,0.39330164,79
80,0.7817285,0.34753165,5.6446133,0.24869283,4.072741,0.4971246,80
81,0.44918236,0.92945206,3.5981476,0.81329584,1.9041426,0.15056495,81
82,0.73053336,0.7570223,1.9161038,0.22204019,1.0298264,0.82950974,82
83,0.91359097,0.7150397,0.3235699,0.3717035,4.360717,0.7016259,83
84,0.3683729,0.16936567,3.9267058,0.7385282,2.975834,0.41065913,84
85,0.3538294,0.03731918,2.2123613,0.7722161,4.9380503,0.5792557,85
86,0.790921,0.88064957,1.0657448,0.069077365,4.3282743,0.24214724,86
87,0.49995345,0.64745057,4.6012526,0.5568783,4.151921,0.3386502,87
88,0.04237611,0.4757396,1.5133724,0.45870802,0.7338865,0.17540021,88
89,0.51095307,0.10808008,4.7377257,0.22744638,3.5051541,0.035406407,89
90,0.7710166,0.80416125,0.70647,0.8178875,0.63329315,0.12126466,90
91,0.62377197,0.8076814,4.400341,0.62532187,5.1647463,0.13505788,91
92,0.77202016,0.9015226,5.263099,0.90132797,3.1577687,0.7366691,92
93,0.6672928,0.55079716,4.8354025,0.41722438,1.8190881,0.6587263,93
94,0.77479565,0.37144125,2.9124384,0.33679086,5.3028755,0.23017052,94
95,0.6520555,0.21200307,4.5475388,0.85145706,3.6933355,0.04822679,95
96,0.93229616,0.04714565,0.569368,0.8114125,2.3384895,0.15359984,96
97,0.6629175,0.7918012,2.412593,0.40610778,4.3233438,0.27580175,97
98,0.768105,0.60802054,1.5660172,0.09800629,0.8692647,0.30981386,98
99,0.93892676,0.6633993,2.2965899,0.27765006,4.943348,0.27896926,99
100,0.64011526,0.06246579,0.3222865,0.8051964,4.913505,0.8121035,100
101,0.7804861,0.5585314,5.1064835,0.85269475,2.464673,0.6822912,101
102,0.5306616,0.59742117,1.4542257,0.9549202,1.4901936,0.19713634,102
103,0.9504288,0.5124167,0.76685,0.52312094,0.9410485,0.13505752,103
104,0.32935196,0.58823025,0.47075075,0.98801047,1.1039988,0.37285623,104
105,0.7034968,0.4124347,2.2705574,0.80493456,2.4416797,0.6862453,105
106,0.49063924,0.2030918,0.5520768,0.8912066,3.1497488,0.37311032,106
107,0.50926524,0.5819065,0.6203649,0.22442822,5.217003,0.5731286,107
108,0.5784001,0.104096,4.864347,0.7729168,4.2539,0.34404522,108
109,0.074835055,0.11666206,1.0695503,0.47925237,3.6366098,0.24533556,109
110,0.24617419,0.11300827,0.7958077,0.14269371,2.885752,0.2798208,110
111,0.5449195,0.3996373,3.0537376,0.4673267,2.8384445,0.22255766,111
112,0.8522648,0.4862552,2.7014985,0.09007683,5.1102066,0.2893135,112
113,0.7096327,0.80281365,3.5239012,0.73632026,2.9146068,0.614093,113
114,0.713626,0.7131129,5.0699773,0.112668656,5.39449,0.33702928,114
115,0.8902582,0.71562254,5.7424183,0.62513155,3.3319466,0.3283872,115
116,0.5588282,0.84531486,3.909537,0.4582565,3.7700057,0.25080684,116
117,0.035656434,0.38506836,2.7835925,0.059874848,3.9134202,0.16620329,117
118,0.20191681,0.35187522,4.665884,0.64874524,1.8141807,0.22023314,118
119,0.5722325,0.7686444,2.0409255,0.7827408,1.452538,0.25725263,119
