,inferred mb weight,subject,inferred discount,inferred mf weight,inferred learning rate
154,0.46022472,154,0.19516641,0.5240432,0.7372745
155,0.51451296,155,0.22856513,0.58189374,0.75500274
156,0.7006556,156,0.20784213,0.84525895,0.54928815
157,0.4967836,157,0.26573157,0.5674938,0.6770926
158,0.46257848,158,0.22152238,0.54658693,0.7301462
159,0.42343855,159,0.22346613,0.52589375,0.67610765
160,0.53142184,160,0.21742257,0.6890147,0.71714073
161,0.73349786,161,0.2189589,0.81717515,0.75294423
162,0.6908912,162,0.23841695,0.80909693,0.4909281
163,0.5103245,163,0.21302807,0.6172068,0.7129692
164,0.52455497,164,0.20122333,0.7448651,0.7646083
165,0.7098838,165,0.14163671,0.9553898,0.2993769
166,0.6293319,166,0.18763165,0.6878727,0.70622265
167,0.5936164,167,0.16905157,0.9237159,0.60531634
168,0.4966269,168,0.20000598,0.58008015,0.66133535
169,0.42984244,169,0.21396467,0.5270876,0.7321747
170,0.56220305,170,0.16776681,0.69400644,0.77600294
171,0.6425384,171,0.17918003,0.7789653,0.5575324
172,0.5743042,172,0.24199319,0.7407187,0.6559431
173,0.49936774,173,0.21744636,0.74438876,0.5589837
174,0.58095264,174,0.21380606,0.6929546,0.7036886
175,0.5024878,175,0.20899698,0.64790785,0.46196947
176,0.540645,176,0.25099948,0.7086281,0.6976378
177,0.6457591,177,0.19610398,0.704798,0.70098084
178,0.62332606,178,0.22409317,0.6561298,0.5629119
179,0.42814845,179,0.26215652,0.5453165,0.71995777
180,0.4127426,180,0.22434631,0.44864187,0.71853125
181,0.5567799,181,0.19083038,0.7485439,0.6635138
182,0.58154064,182,0.2028651,0.6404767,0.7139863
183,0.5176006,183,0.21478143,0.7012655,0.7430846
184,0.59187704,184,0.21067202,0.76220423,0.74816114
185,0.4161175,185,0.19991216,0.4857938,0.756483
186,0.68891114,186,0.24755521,0.83074254,0.6437717
187,0.58734816,187,0.18046136,0.69257814,0.77082646
