,policy rate,reward rate,dec temp,habitual tendency,cached weight,cached rate,subject
94,0.742981,0.27085066,1.8419092,4.5539002,3.1197536,0.614424,44
95,0.7790699,0.74047214,4.944678,7.481428,2.9949758,0.6034186,45
96,0.5085641,0.97657436,2.5500252,6.855085,2.5988622,0.44686854,46
97,0.38711113,0.17134227,4.2520638,4.569558,5.21389,0.60624444,47
98,0.31063432,0.89758563,2.6630757,1.1608722,4.8685646,0.835255,48
99,0.23145409,0.7208662,6.0924287,6.4009404,1.8856158,0.52719736,49
100,0.36238638,0.78356355,4.3291006,0.6160413,2.829523,0.37161547,0
101,0.56396353,0.230766,3.8821886,8.334504,3.858767,0.89994085,1
102,0.6857103,0.42608613,3.7504978,8.071188,5.6242323,0.5426776,2
103,0.6408345,0.918124,3.7575145,5.7353334,1.7396461,0.31807086,3
104,0.100750454,0.818916,5.323007,2.5326352,3.6402626,0.7163871,4
105,0.6143935,0.4201441,1.7051564,4.9660487,6.2206025,0.47603992,5
106,0.8597058,0.15629512,8.016524,4.057211,3.7128348,0.96226484,6
107,0.5380427,0.8605554,1.7793033,2.7622852,3.4108827,0.3005283,7
108,0.5247524,0.81092805,4.5545425,2.319477,2.1496143,0.7659069,8
109,0.63405126,0.20118785,3.9947844,5.900965,2.1160188,0.09518673,9
110,0.53911835,0.33003235,0.69262326,6.5138583,3.8610034,0.59211236,10
111,0.34143263,0.2790361,2.2173233,2.9335115,4.545519,0.73174816,11
112,0.87553245,0.9267077,3.240986,2.0527222,5.666034,0.25844896,12
113,0.5303297,0.81162703,6.7187667,5.192809,5.052233,0.2930466,13
114,0.66442144,0.65174365,4.13425,3.6467383,2.3907008,0.08446288,14
115,0.51923007,0.66538095,7.103889,3.066561,1.5147002,0.75806415,15
116,0.8959952,0.7419776,1.4758886,4.048338,1.9176309,0.6726855,16
117,0.17928171,0.32738474,7.229203,5.6108055,5.650163,0.44914088,17
118,0.519423,0.24883093,1.8981509,5.628029,1.7683542,0.32489124,18
119,0.11404863,0.42007816,3.5691035,5.836177,4.2283044,0.7309228,19
120,0.80880916,0.10946046,5.0734043,2.2163897,2.7125323,0.16859734,20
121,0.6211034,0.34456486,3.7663102,1.8326948,5.9040475,0.24819066,21
122,0.7351482,0.3456317,3.7688038,2.5203278,3.3018115,0.5805889,22
123,0.7351956,0.94054985,5.9708233,2.5488517,4.5466633,0.5596359,23
124,0.11854982,0.7022657,4.470409,3.5436006,4.331623,0.90146184,24
125,0.83819115,0.773469,1.2877502,4.4014173,1.2034601,0.72778875,25
126,0.6357511,0.64404017,2.7169518,3.8091304,3.0748405,0.6950195,26
127,0.516164,0.025825795,2.6898365,2.214268,2.4972818,0.8826087,27
128,0.6539542,0.5085025,1.2533617,8.066129,5.894441,0.8203874,28
129,0.40433827,0.73761827,4.9254365,4.1681566,8.325339,0.34601742,29
130,0.19019482,0.65849227,2.253872,7.7127085,3.0433261,0.52302885,30
131,0.8769457,0.32725137,1.3002728,3.354694,1.9453194,0.8552624,31
132,0.7074638,0.5823572,2.4593031,1.1522906,5.9915333,0.464906,32
133,0.5969493,0.099631295,3.1872635,6.3010798,3.0323596,0.5158917,33
134,0.230131,0.45376506,3.2899153,5.438712,2.3409476,0.37183318,34
135,0.34394684,0.8805313,3.7938352,4.404608,3.5448217,0.43069682,35
136,0.82975113,0.83577347,1.9002826,4.21362,5.1885076,0.8096827,36
137,0.065072104,0.2878085,3.0175998,3.0243955,4.1218724,0.31606752,37
138,0.46776596,0.028056957,3.3867912,5.9376044,4.369414,0.87476736,38
139,0.68165296,0.814026,1.314953,2.241678,4.8451242,0.39907184,39
140,0.7007599,0.8472746,6.845655,2.1487076,4.122946,0.1618724,40
141,0.13165475,0.17825422,1.6188895,8.17207,4.152562,0.39790148,41
142,0.2558752,0.4616435,5.5217595,6.392313,0.9693425,0.73198813,42
143,0.77038956,0.686691,4.7221394,4.1154246,6.853485,0.89930004,43
144,0.5249052,0.13276261,2.3647547,3.5162349,2.5511396,0.48706317,44
145,0.65861636,0.7523271,2.5990748,5.153366,1.1248399,0.26384363,45
146,0.48314968,0.57190865,2.2766566,6.811319,3.1650348,0.33432814,46
147,0.37437898,0.21652791,5.3173966,4.0112677,4.7972317,0.6322908,47
148,0.28808898,0.7483573,3.1502678,1.7838489,5.2741423,0.7799043,48
149,0.2688214,0.7968839,7.1963177,6.923854,1.674682,0.52192205,49
150,0.73811275,0.6667866,3.4626746,1.6787419,4.718719,0.58062375,0
151,0.37314892,0.24394281,4.2153654,6.3469725,3.2974515,0.6800841,1
152,0.6387514,0.5423206,3.052015,7.436305,5.6122403,0.37744486,2
153,0.77411085,0.43118927,3.1153088,7.15523,2.9030774,0.53045523,3
154,0.12294758,0.76958025,7.3196583,2.7230606,3.0563178,0.75856054,4
155,0.75621486,0.66311735,3.8410807,4.689958,5.3504825,0.61699766,5
