,discount,learning rate,dec temp,weight,subject
65,0.8887608,0.28468165,0.39392984,0.86972123,17
66,0.81851923,0.5709738,4.04858,0.20024478,18
67,0.61235553,0.9647493,3.175566,0.89112467,19
68,0.9958852,0.72626424,5.4225264,0.9664057,20
69,0.8862061,0.9700884,1.2762424,0.6572061,21
70,0.34850833,0.8556351,2.4434118,0.9424481,22
71,0.9112189,0.6998254,3.5812807,0.5486853,23
72,0.91225314,0.95234454,5.1975155,0.9240974,0
73,0.99348164,0.09644413,1.2207936,0.8299624,1
74,0.9893967,0.9272057,3.4392686,0.97055817,2
75,0.86897,0.87599564,3.8885727,0.5750709,3
76,0.95043296,0.9365318,2.3935313,0.37221825,4
77,0.19926381,0.87622845,5.274481,0.9251557,5
78,0.94044316,0.1909804,4.967588,0.14687543,6
79,0.47965953,0.28695244,1.4976221,0.4027211,7
80,0.6910747,0.6556895,3.118177,0.8935169,8
81,0.8234686,0.9030405,5.2986155,0.9860286,9
82,0.74833596,0.47298968,4.0424213,0.6522275,10
83,0.64675283,0.91734177,1.6053854,0.6548439,11
84,0.9416897,0.91813374,4.803564,0.71388173,12
85,0.84732455,0.8992705,4.6500235,0.96845096,13
86,0.96089745,0.60551435,4.6759434,0.016159778,14
87,0.21792124,0.9690936,5.087057,0.94568425,15
88,0.68902266,0.9483699,1.4011375,0.9497814,16
89,0.8955201,0.13298818,0.45770353,0.87970674,17
90,0.9443438,0.605819,4.5189595,0.5271091,18
91,0.59038705,0.91033673,2.9570456,0.77232975,19
92,0.9123274,0.7816791,5.6122127,0.86811155,20
93,0.56403595,0.95373255,1.5712738,0.5888762,21
94,0.18412152,0.9139717,1.795058,0.82989913,22
95,0.9931821,0.84819984,3.394754,0.63476986,23
96,0.80366457,0.9162158,5.641484,0.899297,0
97,0.97868335,0.13818482,1.7464689,0.2033178,1
98,0.83109045,0.9497614,3.5111282,0.7606084,2
99,0.98218924,0.82112217,4.3722157,0.7114417,3
100,0.9154389,0.9594853,2.3647254,0.48489702,4
101,0.28416792,0.7858551,4.8183002,0.95209163,5
102,0.95968384,0.17170136,5.545805,0.12892345,6
103,0.82927126,0.05363625,2.5018985,0.13730375,7
104,0.35216486,0.84311354,2.5380058,0.93395674,8
105,0.89931035,0.979084,5.0486417,0.9070731,9
106,0.36485273,0.5445185,3.8486514,0.73418576,10
107,0.6101269,0.6486834,2.298131,0.978205,11
108,0.9346645,0.8975448,4.1424403,0.93433386,12
109,0.94344103,0.78658587,4.382714,0.8432739,13
110,0.8686369,0.74536484,4.7693634,0.090016484,14
111,0.48743805,0.8750578,5.1681247,0.9601169,15
112,0.91804695,0.8879448,0.91335154,0.69568783,16
113,0.4943548,0.17021488,0.5837888,0.23585618,17
114,0.941987,0.6492599,2.8611488,0.18339145,18
115,0.6868539,0.96325684,3.2604303,0.6532325,19
116,0.97498304,0.82051146,5.292629,0.81527466,20
117,0.078113444,0.94353133,1.7857308,0.7401025,21
118,0.11626283,0.71021456,2.424137,0.4313709,22
119,0.8007391,0.6701752,4.3722315,0.6892244,23
