,discount,learning rate,dec temp,weight,prior weight,prior lr,subject
67,0.60134435,0.25278723,2.2378325,0.9018279,2.306548,0.023279214,67
68,0.6127028,0.76601213,1.8324132,0.3798134,0.77177906,0.18423322,68
69,0.33751917,0.9077118,1.5056448,0.5675971,0.6809224,0.77735364,69
70,0.2058713,0.0061091147,0.8457023,0.66559756,0.8834703,0.11989072,70
71,0.39162123,0.22022901,1.8110535,0.75850016,2.200539,0.27438152,71
72,0.056880143,0.8569633,0.5772674,0.8208002,0.8083037,0.16796134,72
73,0.85262656,0.71370804,2.4624424,0.90522724,1.2812728,0.49914756,73
74,0.7684106,0.49869022,1.3741452,0.84420997,1.7561363,0.4921246,74
75,0.60917395,0.6309438,1.9985111,0.4274198,1.4354606,0.32285666,75
76,0.23168783,0.682358,1.065291,0.74327534,0.98590803,0.08448026,76
77,0.3949601,0.6925952,0.88865256,0.2380959,0.2808164,0.39043665,77
78,0.53020495,0.3137642,2.6725833,0.90790874,0.7944619,0.68144023,78
79,0.0053875283,0.6823607,1.4099314,0.9093263,2.1113482,0.38260007,79
80,0.35645783,0.33123392,1.4965945,0.57381606,1.1907761,0.25604883,80
81,0.3456617,0.16371287,1.1345285,0.8143188,1.0567158,0.082450114,81
82,0.84684604,0.23282582,4.400345,0.927048,1.8603868,0.35170284,82
83,0.33767208,0.82945174,1.136807,0.8608457,1.7692641,0.35803026,83
84,0.9257685,0.4911707,3.1374831,0.8444204,2.0405223,0.5818048,84
85,0.22583732,0.41050047,0.49830446,0.7326828,0.37332514,0.33667085,85
86,0.15596478,0.8288538,0.68910974,0.8578117,1.6251242,0.47884205,86
87,0.09071114,0.6685984,1.4151899,0.20999368,0.55205345,0.24215579,87
88,0.32176486,0.27300298,2.079531,0.78034544,1.5207006,0.24531852,88
89,0.3840285,0.46726674,1.8681539,0.8706611,0.9873085,0.15616545,89
90,0.2329552,0.13276577,2.2749124,0.7511502,0.99253845,0.31018025,90
91,0.124237835,0.012155075,1.6755277,0.8726041,0.69955593,0.15410669,91
92,0.04751204,0.6251262,0.81433,0.9610234,0.49187076,0.118874215,92
93,0.3356188,0.48625332,0.51050276,0.8104713,0.42932886,0.6662726,93
94,0.30495325,0.025776925,1.105453,0.3120538,0.4537261,0.41087982,94
95,0.9482319,0.2474588,0.48045006,0.6484359,0.77669317,0.0886189,95
96,0.09503081,0.3922081,1.4880968,0.7037097,1.6362693,0.034468446,96
97,0.5992061,0.8634743,1.7489133,0.81141186,1.1983955,0.108294286,97
98,0.81313884,0.15362403,1.2896186,0.80094707,1.4650301,0.11332406,98
99,0.5488911,0.5352242,0.5541797,0.93855023,1.0037079,0.07350826,99
100,0.4012335,0.22640276,1.4863278,0.91181386,0.39499292,0.25571486,100
101,0.5563266,0.3683181,0.8845525,0.9600937,1.1126822,0.03497196,101
102,0.45398566,0.36055562,1.441774,0.63777614,1.4006706,0.09455197,102
103,0.20352404,0.4971186,0.81161976,0.90241647,1.2461596,0.2738165,103
104,0.5095407,0.2882062,1.6247528,0.5358596,0.6092872,0.3394327,104
105,0.22434232,0.008252243,1.9426832,0.75075483,0.3907053,0.6902243,105
