,inferred discount,subject,inferred learning rate,inferred dec temp,inferred weight,inferred prior lr,inferred prior weight
28,0.41820043,28,0.3079424,1.29438,0.75939536,0.21438858,0.8228203
29,0.76957774,29,0.9409789,1.5607567,0.540983,0.31298706,0.6146898
30,0.41698676,30,0.27079248,0.8053222,0.7126791,0.22562027,0.8218462
31,0.5411921,31,0.61247754,1.6191217,0.70660996,0.74633384,1.5863954
32,0.51336616,32,0.47464532,1.0833789,0.6359203,0.71573085,1.5272354
33,0.5033185,33,0.9321536,3.5189404,0.8141752,0.2631233,0.6292799
34,0.78204393,34,0.90086716,2.0471778,0.50506246,0.3640335,0.62677073
35,0.45778275,35,0.7705091,2.4747133,0.73609865,0.29596385,1.5495974
36,0.5320457,36,0.5930267,2.170034,0.5767434,0.5624844,2.240481
37,0.65462375,37,0.6189955,3.024371,0.51784104,0.49717784,0.75726
38,0.43668497,38,0.30995008,1.175671,0.7746347,0.29947913,0.873624
39,0.41061303,39,0.42144495,3.0042183,0.8502975,0.34657246,0.8883302
40,0.48664275,40,0.33091003,1.0509882,0.627001,0.5045801,1.5306966
41,0.4428551,41,0.25966087,0.78442365,0.73445135,0.20683335,0.7378697
42,0.50153786,42,0.31430188,0.83035,0.6944869,0.43684274,0.9402537
43,0.5178697,43,0.3189406,1.5247555,0.5981567,0.28524873,1.4928638
44,0.42582777,44,0.28857824,0.9085767,0.7422858,0.20253547,0.74551463
45,0.5354714,45,0.6492489,1.2659343,0.64571685,0.3435896,0.8364055
46,0.5528391,46,0.903151,2.0754697,0.8045234,0.27545273,1.1004877
47,0.44556013,47,0.48475713,1.1240734,0.7195253,0.2096172,1.0477977
48,0.4066373,48,0.6561128,3.5569825,0.8908753,0.2096443,1.0748261
49,0.42480624,49,0.26792827,1.118379,0.7385128,0.24974507,0.7667876
50,0.5596849,50,0.68188196,3.1161084,0.8277822,0.17161776,0.87443584
51,0.42060253,51,0.28227326,0.7873147,0.74248946,0.19240646,0.76476866
52,0.4396604,52,0.38469324,2.1111572,0.8138456,0.20153356,0.89697814
53,0.59673357,53,0.503506,1.2526815,0.3912473,0.59025156,1.1491375
54,0.51520896,54,0.5611359,2.5843751,0.7939045,0.21057324,1.2532955
55,0.6405421,55,0.7551215,2.2160513,0.4875235,0.4162144,0.86803085
56,0.57188195,56,0.66293323,3.918055,0.8550295,0.26989928,0.96184987
57,0.52888703,57,0.842156,4.1155033,0.7767374,0.20970242,0.71903306
58,0.37982184,58,0.3556744,2.298309,0.80970263,0.20157133,1.2297652
59,0.7130184,59,0.7145078,2.3785996,0.54128134,0.45778617,0.717791
60,0.66159606,60,0.85244983,2.8467603,0.58147264,0.22482021,1.7023036
61,0.53001356,61,0.6976746,2.1707768,0.44481194,0.58663535,1.3719542
62,0.41393387,62,0.24760492,1.1135898,0.7894666,0.17421104,0.9424979
63,0.5449985,63,0.77766716,2.0972826,0.5039613,0.62258816,0.793036
64,0.4167522,64,0.2290171,1.1553164,0.7845891,0.21003659,0.7778408
65,0.3700147,65,0.42422828,1.1318499,0.8136047,0.191128,0.73800987
66,0.43589556,66,0.2854428,0.7812087,0.7214001,0.19387907,0.8369962
67,0.39173552,67,0.28552398,1.3495898,0.80085427,0.25927782,0.88035035
68,0.6288356,68,0.7005154,2.1598349,0.73715943,0.29319832,0.9235702
69,0.6012798,69,0.8599264,1.1045997,0.58464384,0.68448704,0.7533218
70,0.42348355,70,0.30557588,0.91554236,0.74429506,0.22924249,0.7666339
71,0.48002824,71,0.25464875,3.6099355,0.83131295,0.15053838,2.4628208
72,0.44124523,72,0.30155817,0.94397515,0.7490218,0.21377763,0.70570594
73,0.72474265,73,0.77699107,2.4957273,0.67192215,0.25232014,0.97811556
74,0.43023968,74,0.5043067,1.053572,0.78443956,0.5008033,1.3791978
75,0.58807427,75,0.61167616,2.631051,0.47849548,0.3799767,1.7516298
76,0.5112072,76,0.72583544,1.265314,0.71316254,0.37833264,0.82120174
77,0.49177355,77,0.5819273,1.2407014,0.7154812,0.33788183,0.76631594
78,0.41143745,78,0.4199648,2.5694127,0.8343153,0.50289875,0.83207226
79,0.44006616,79,0.83197916,1.9202185,0.74358594,0.39050913,1.6438396
80,0.5604753,80,0.2785,1.9138198,0.40984222,0.45003435,1.3092276
81,0.4099226,81,0.29965964,1.1487646,0.7807694,0.18965018,0.7917872
82,0.46691748,82,0.38137576,3.3229458,0.88185847,0.2652113,2.1063209
