,inferred mb weight,subject,inferred discount,inferred mf weight,inferred learning rate,inferred prior lr,inferred prior weight
88,0.7867153,88,0.35742536,1.0230453,0.57114834,0.09678676,1.8016787
89,0.40207708,89,0.27437896,0.4916147,0.7350184,0.16583532,0.79298455
90,1.5352168,90,0.44150972,1.3300208,0.78397214,0.19424485,0.7033161
91,1.0595891,91,0.2902737,1.1421479,0.75702095,0.17769915,0.75005066
92,0.40226164,92,0.35470974,0.56365615,0.76090443,0.19769724,0.7627263
93,1.859078,93,0.55998933,1.8554676,0.4269415,0.42850348,0.78488183
94,2.6958818,94,0.3836648,1.757125,0.6225048,0.3285217,0.7334336
95,1.7892505,95,0.30710208,1.4562858,0.62501514,0.18754898,0.9069542
96,1.0362619,96,0.30670464,1.7052583,0.6364005,0.14660642,1.620334
97,1.1868492,97,0.7165261,3.159411,0.60911644,0.03940936,2.4136534
98,1.5337934,98,0.48631153,1.6977353,0.7342322,0.3016577,0.62332946
99,1.3517876,99,0.5008309,1.6147591,0.585396,0.68315136,1.0562977
100,0.39443287,100,0.2649994,0.5037802,0.6480721,0.12511505,1.5499195
101,1.9683781,101,0.5094087,2.2721674,0.59057045,0.3847072,0.52237517
102,0.77323973,102,0.23946205,1.2856569,0.65094113,0.18387502,0.7657571
103,0.9011582,103,0.28489286,1.0027965,0.6731926,0.18014932,0.8058697
104,0.7614262,104,0.4458466,1.644635,0.5493098,0.36584172,0.91762006
105,0.96694106,105,0.29110035,0.92459357,0.609969,0.15100919,1.8513716
106,0.44138762,106,0.22106491,0.53382766,0.73975855,0.15231113,0.8044452
107,0.57479835,107,0.29993096,0.75256944,0.66111004,0.21138889,0.81887704
108,0.4635321,108,0.21833467,0.7311112,0.6896726,0.15586965,0.81555444
109,2.2520082,109,0.25142047,1.7116084,0.50361127,0.4592104,0.6730632
110,0.653132,110,0.2585174,0.71326756,0.48409346,0.19364691,0.95057243
111,1.3944826,111,0.4183921,1.182244,0.4819438,0.33146995,1.4987698
112,0.6729594,112,0.19635877,0.91321486,0.6222448,0.1832541,0.82689184
113,2.9899864,113,0.3758482,1.5739875,0.6012939,0.72536457,0.87853974
114,0.48257276,114,0.19170225,0.7142006,0.6528764,0.18989076,0.7754723
115,0.4364458,115,0.26573423,0.80713767,0.6732838,0.15442441,0.929997
