,discount,learning rate,mf weight,mb weight,prior weight,prior lr,subject
141,0.7945474,0.68701893,1.9026,2.4659574,0.35612133,0.19967648,141
142,0.40170547,0.77783996,0.8850485,2.5576384,1.9980276,0.029672049,142
143,0.20820333,0.7799846,0.27764684,0.53281665,0.39324144,0.08461168,143
144,0.3939938,0.64160514,0.43907738,1.0110482,0.8673098,0.092958204,144
145,0.29881847,0.6035522,0.68139154,0.49763215,0.40582776,0.5372506,145
146,0.42684123,0.74014014,0.7951573,0.62895775,0.48991644,0.18269841,146
147,0.5428969,0.6793694,2.1567926,0.22553368,0.6017905,0.72746116,147
148,0.27319458,0.61120135,1.2769529,2.1442552,0.2894587,0.79874617,148
149,0.20470265,0.6512461,0.49502218,2.3567853,0.3404325,0.38655326,149
150,0.40793368,0.48141664,1.3167149,1.483182,1.9291551,0.325188,150
151,0.28356713,0.6162262,1.0110637,3.31352,0.56406313,0.10658727,151
152,0.25134188,0.75196207,0.9348749,0.22182372,0.5692512,0.107705064,152
153,0.051474474,0.43620357,1.979907,0.47295427,0.88891286,0.2584632,153
154,0.17545743,0.64029866,1.6711782,0.54948676,0.7422981,0.2797137,154
155,0.084571265,0.8958178,0.68133163,0.31958866,0.9664248,0.09714494,155
156,0.3228037,0.43267956,0.90901744,0.5003808,0.5557273,0.5049231,156
157,0.074569024,0.806017,0.49347237,0.36201435,0.6076167,0.07159478,157
158,0.8126577,0.70168114,1.1199002,1.0620501,0.72813666,0.35011148,158
159,0.17886269,0.59268427,2.069482,2.9458227,0.5644747,0.38788432,159
160,0.38283387,0.57090366,1.826314,0.54749155,0.79641634,0.43971682,160
161,0.32528436,0.53982526,0.5407339,1.1698409,1.3487743,0.36027044,161
162,0.09649625,0.6788351,1.2020838,0.52339613,0.69574386,0.34942266,162
163,0.11573699,0.14173461,0.8295853,0.37419203,0.79624754,0.6043009,163
164,0.023300909,0.6995218,1.3743778,0.31408298,0.68588567,0.1000079,164
165,0.5002152,0.47154394,0.81210154,1.7439723,0.86001587,0.46402702,165
166,0.34651136,0.7200105,0.97755754,0.7935435,1.2743438,0.034505405,166
167,0.07402568,0.7078842,0.7554558,0.6375466,0.353641,0.35882962,167
168,0.25280392,0.32874885,0.22811702,1.4950633,1.0693345,0.0913051,168
169,0.3983692,0.53284824,0.96695995,1.9590764,0.7888645,0.82699037,169
170,0.4186212,0.539184,0.3795461,0.5137333,0.7483164,0.1843075,170
171,0.91671234,0.7977978,2.1433337,1.0217787,0.7523662,0.068234734,171
172,0.46387327,0.6400095,1.1746686,2.0438352,0.44091076,0.15221792,172
173,0.10412704,0.6275533,1.1483728,2.827669,1.4533952,0.057589024,173
174,0.35157278,0.74334496,0.3320278,1.9177222,1.2688695,0.086216055,174
175,0.7159802,0.7697178,0.6047909,0.5753247,0.52384555,0.15841138,175
176,0.35508472,0.7305791,0.83002067,0.26750666,0.5922011,0.22716738,176
177,0.5185135,0.5788043,1.172231,2.3374457,0.7240131,0.7466392,177
178,0.77659756,0.6278403,1.1223551,1.9757743,0.5562031,0.32718086,178
179,0.5718424,0.6386997,3.1493363,2.1317031,0.6631261,0.8355819,179
180,0.4467956,0.69571453,1.0529622,0.5064605,0.36503857,0.1653465,180
181,0.39834452,0.5621601,0.5072186,0.5581576,1.0648189,0.1278031,181
182,0.4520872,0.58590347,1.0978014,0.34439364,1.1361188,0.40625426,182
183,0.44464034,0.72694373,0.35828337,0.24435894,0.17122263,0.2768028,183
184,0.37911803,0.7907992,2.8293936,2.7776449,1.054884,0.6775625,184
185,0.44158247,0.7697438,3.5334969,4.221467,0.6583857,0.19972448,185
186,0.37023714,0.4397587,0.7064533,3.4437983,0.24091363,0.45600897,186
187,0.58366275,0.64399856,0.9469944,0.44699472,0.55730236,0.31169307,187
188,0.47166547,0.63929325,1.790833,3.4947867,1.1378433,0.004171898,0
189,0.4382729,0.5215412,1.7298353,2.7634976,0.61897576,0.41747022,1
190,0.74640936,0.73962325,0.87081015,0.5197108,0.68100715,0.047799703,2
191,0.3101102,0.5794179,0.82071376,0.23982844,1.9488049,0.13249378,3
192,0.5651174,0.72147804,0.9538772,0.6222817,0.6195825,0.8318178,4
193,0.19536895,0.5554963,1.6294059,1.055957,0.8638961,0.31483302,5
194,0.17532837,0.8001126,3.1727529,1.7515544,1.4631208,0.06429512,6
195,0.18943098,0.65136987,0.68483996,0.36914277,0.31709644,0.16251284,7
196,0.2987426,0.7255907,1.610568,2.5059223,1.3636835,0.3694685,8
197,0.15576886,0.4428533,1.0474424,0.7195576,0.5014409,0.21126041,9
198,0.4822834,0.73922753,3.1858387,3.790309,1.2389857,0.031274103,10
199,0.2765693,0.6654694,1.517833,3.1822522,0.71077174,0.2889444,11
200,0.30605185,0.39691484,0.93972284,2.164936,0.53462964,0.3620965,12
201,0.26874343,0.74197596,3.5790117,1.2830096,0.5421053,0.3471834,13
