,inferred dec temp,subject,inferred reward rate,inferred habitual tendency,inferred policy rate,inferred cached weight,inferred cached rate
27,5.9883633,27,0.3337722,3.6162932,0.65222615,3.954608,0.6406908
28,2.8562055,28,0.43310526,3.377318,0.6718954,4.379976,0.66794384
29,2.926564,29,0.32705918,3.497294,0.6357056,4.281413,0.6529611
30,3.416398,30,0.31049743,3.5904107,0.66267794,4.3181944,0.666641
31,2.9079983,31,0.3495752,3.245454,0.5603596,4.3209786,0.6690268
32,3.0095675,32,0.5789394,3.3392944,0.6730032,4.436158,0.6683001
33,3.434157,33,0.51902395,3.686055,0.48041204,5.092327,0.6543368
34,2.8608105,34,0.3849407,3.2473643,0.70762295,5.9450746,0.68231964
35,2.9220078,35,0.3116878,3.6545117,0.64198744,3.452099,0.6356357
36,2.9083107,36,0.31150562,3.2630007,0.65634215,3.8430767,0.6685197
37,3.6954532,37,0.34810776,3.6354911,0.6033317,3.9473295,0.6491891
38,3.296937,38,0.33210793,3.4629269,0.59840786,3.675818,0.6662443
39,3.014434,39,0.30141282,3.4487422,0.5922187,4.177848,0.6616337
40,2.9522831,40,0.5720019,3.4926171,0.6566565,5.360881,0.54025346
41,2.8766193,41,0.3030051,3.154986,0.68497354,4.3077264,0.65920436
42,2.8827891,42,0.30402514,3.4033442,0.59602344,3.7132816,0.6433912
43,6.661011,43,0.33108088,3.7139854,0.65174496,5.2864923,0.53796136
44,2.93702,44,0.30320722,3.3451915,0.675642,4.961408,0.67405343
45,3.8948207,45,0.45407653,3.4766064,0.6699325,5.649801,0.64269334
46,4.3327436,46,0.30295724,3.3798301,0.6663541,4.445023,0.6544534
47,5.2004237,47,0.28571776,3.4096074,0.6429595,3.8220654,0.67638606
48,3.834517,48,0.41019347,3.7590327,0.6584674,5.16697,0.44518012
49,3.7092938,49,0.31264994,3.4719164,0.6549777,5.160992,0.6184931
50,4.7058077,50,0.5322041,3.6854491,0.6574255,5.103098,0.61923134
51,3.0106387,51,0.47792304,3.3209739,0.70222276,5.594297,0.69120437
52,5.194569,52,0.30087093,3.4282115,0.6762258,4.27925,0.66529214
53,3.1113374,53,0.2864715,3.3373957,0.66297203,4.6150517,0.65696275
54,3.2500606,54,0.3432988,3.474025,0.66609895,4.001528,0.5900233
55,3.2530155,55,0.45208666,3.277905,0.66959447,4.972169,0.6675282
56,4.3548794,56,0.30394813,3.6571321,0.6513694,3.6640925,0.5382814
57,3.5543683,57,0.32112178,5.1676083,0.6069309,4.0755253,0.6545281
58,5.754591,58,0.2935675,3.809048,0.6607107,4.982244,0.57547045
59,6.30506,59,0.3093341,4.0574546,0.6309461,3.590874,0.6566482
60,3.238264,60,0.33894154,3.3869696,0.6965411,5.90535,0.67565906
61,3.5858061,61,0.3253582,3.6043413,0.6310829,3.878337,0.642059
62,4.0476446,62,0.6188273,3.3598368,0.6816261,5.139694,0.631955
63,3.1985495,63,0.5651887,3.3709292,0.6771114,4.2859674,0.6632079
64,6.687367,64,0.30122265,3.60506,0.64352924,3.7964218,0.6613346
65,2.9490268,65,0.5877611,3.497353,0.6841151,5.289087,0.56971335
66,4.329561,66,0.3123311,4.085198,0.63358307,3.8483918,0.6444253
67,6.0371647,67,0.2866585,3.897585,0.6069457,3.8614345,0.6673116
68,3.0337837,68,0.29609793,3.4783437,0.6666556,4.587923,0.6655417
