,discount,learning rate,mf weight,mb weight,prior weight,prior lr,subject
39,0.3852077,0.34285173,2.5715399,4.495563,2.8556507,0.44255108,14
40,0.28163934,0.23824348,5.3307657,4.486256,4.0074453,0.26259395,15
41,0.44962323,0.61161035,1.5924364,0.9742577,3.8297296,0.30261612,16
42,0.18947414,0.17145781,2.7519808,4.5466967,3.067852,0.7090408,17
43,0.5625251,0.4445916,2.5371432,0.30325568,0.6287689,0.8022423,18
44,0.70669335,0.09692522,3.4269755,3.8707447,1.37868,0.536701,19
45,0.3631566,0.53262436,4.8236737,1.3763514,2.225134,0.7333106,20
46,0.73725706,0.71539235,2.930508,0.7997961,4.870123,0.40092057,21
47,0.18719228,0.21695876,5.0350537,5.318311,4.052771,0.33341405,22
48,0.5629615,0.8461661,0.41434103,4.9495173,0.5272498,0.51382613,23
49,0.36565194,0.8261377,1.9241197,3.1897407,4.2795296,0.22346629,24
50,0.13882416,0.5433678,1.9566405,2.4124925,2.2400415,0.3064538,0
51,0.36966082,0.29164034,4.018545,2.4372272,1.674276,0.60336083,1
52,0.49648073,0.6202446,3.0711873,3.2413192,1.2182318,0.57514983,2
53,0.8837527,0.24185209,4.870063,4.117878,4.0971355,0.90395075,3
54,0.12557559,0.2665512,0.63028246,0.13870789,0.615431,0.806024,4
55,0.24106492,0.7945941,1.3673478,0.55688405,2.0084143,0.31960034,5
56,0.34329066,0.83954716,2.4763122,3.7505908,1.8171859,0.5159222,6
57,0.49238774,0.8040493,1.1386282,2.045339,1.5091796,0.05321708,7
58,0.09747277,0.6699368,0.7763821,3.018025,4.1328416,0.7810241,8
59,0.68227196,0.7786072,2.5098045,1.3682822,1.3861287,0.07699228,9
60,0.79926497,0.2083626,4.5614557,1.9617317,4.247435,0.5362042,10
61,0.5430951,0.7825749,2.3008947,1.031299,4.9405956,0.4900055,11
62,0.16905685,0.5254441,1.7470233,2.1000962,0.6759804,0.44782415,12
63,0.7576424,0.7460317,2.1782703,2.8875585,3.731584,0.89004743,13
64,0.20388876,0.21643065,1.2834791,1.6153212,0.7417947,0.6501444,14
65,0.16905607,0.18382426,4.8019314,4.2422886,3.8671865,0.774451,15
66,0.5843559,0.78527504,2.941953,1.9164888,3.5312357,0.3268574,16
67,0.10046787,0.2316127,5.4992533,4.4024057,4.565531,0.6093427,17
68,0.28341037,0.6930019,3.2508764,2.6529355,1.9929731,0.5276897,18
69,0.8034873,0.17040004,5.161031,4.873497,3.066548,0.76557213,19
70,0.6196371,0.46476388,4.267058,1.4327402,2.9384613,0.7799909,20
71,0.31148216,0.80229986,2.2867253,2.2759154,4.761731,0.9042445,21
72,0.7718035,0.15403764,3.0176203,4.128061,3.7086763,0.22875263,22
73,0.3544367,0.8823564,2.434298,5.3574104,1.6140676,0.15435065,23
74,0.67622226,0.5022154,1.4019387,0.34496292,3.2966752,0.31358957,24
75,0.32093555,0.6097687,1.8252091,3.411476,1.712648,0.3857993,0
76,0.5878966,0.42722625,5.131637,4.030811,5.0086346,0.5215658,1
77,0.7473115,0.6713024,3.4202895,4.2229743,1.1082231,0.37426728,2
78,0.59062624,0.16411488,3.420627,3.7029195,4.5982695,0.46587348,3
