,inferred dec temp,subject,inferred reward rate,inferred habitual tendency,inferred policy rate,inferred cached weight,inferred cached rate
76,3.1304276,76,0.51686496,0.501529,0.49668786,1.0146868,0.7089726
77,1.1484514,77,0.75204295,0.50460005,0.48187324,0.9367456,0.7618106
78,1.1167868,78,0.7664633,0.48896375,0.5122102,0.933765,0.7661125
79,1.0559099,79,0.76798993,0.50059676,0.5024792,0.950554,0.77195424
80,1.0212055,80,0.77869225,0.52250206,0.47961655,0.9781436,0.78171617
81,1.2526777,81,0.6383881,0.50532055,0.5192019,0.9267131,0.7540746
82,3.1278374,82,0.09773923,0.49523383,0.49334094,0.9539586,0.74524075
83,1.0579638,83,0.73545706,0.50890034,0.49198434,0.94084287,0.7585957
84,1.0800779,84,0.76946753,0.50429267,0.51302266,0.9712953,0.773945
85,2.0467467,85,0.11247296,0.48757517,0.48885405,0.9445419,0.7694011
86,1.2444556,86,0.52762973,0.51721835,0.49921337,0.9387588,0.76299715
87,1.1241064,87,0.7393356,0.5081781,0.49828163,0.9078733,0.75633997
88,1.0254581,88,0.6724179,0.48672032,0.50753623,0.9443102,0.76721704
89,1.1334599,89,0.7751693,0.48776725,0.52378166,0.9253872,0.75889283
90,1.1428342,90,0.73908424,0.5129186,0.48843822,0.9204586,0.75536036
91,1.1694335,91,0.6435304,0.50700086,0.5010921,0.93534786,0.7551124
92,1.184806,92,0.7486811,0.5179962,0.4871461,0.9865902,0.7576511
93,1.1370037,93,0.7312316,0.49530408,0.49190602,0.9467704,0.75625014
94,4.7535357,94,0.3339908,0.48202872,0.49334583,0.98381346,0.7451103
95,1.3723756,95,0.7402097,0.48939234,0.4907369,0.92234385,0.74918187
96,3.7334695,96,0.13336259,0.4923327,0.5212991,0.93920505,0.7107177
97,1.0824358,97,0.7764706,0.49355087,0.49086535,0.95457983,0.7710583
98,1.0419556,98,0.77597845,0.50980645,0.4813388,0.94118774,0.7716361
99,1.144352,99,0.70237195,0.50028634,0.51398855,0.919104,0.7622445
100,3.6636093,100,0.62839293,0.50722545,0.50370365,1.0011532,0.56986445
101,1.1138813,101,0.41343415,0.48888862,0.5034793,0.93757,0.7673754
102,1.0782498,102,0.7688912,0.5036756,0.5055621,0.9214933,0.7555459
103,2.9419332,103,0.09818607,0.51416004,0.49860254,0.95314085,0.6397267
104,2.4011679,104,0.0941788,0.5138224,0.5042001,0.954856,0.78135306
105,1.1552144,105,0.46164694,0.49419343,0.5060996,0.9200743,0.7614669
106,2.554094,106,0.31208926,0.4834405,0.5042555,0.91175187,0.7533209
107,1.1606865,107,0.39929888,0.5104797,0.48733824,0.92646796,0.7713479
