,cached weight,cached rate,subject
131,0.31432447,0.9006414,131
132,0.7270488,0.6806023,132
133,0.3421724,0.40167066,133
134,0.43042195,0.7494932,134
135,0.63372844,0.47796518,135
136,0.521934,0.6784129,136
137,0.2538754,0.3105793,137
138,0.4292403,0.8082451,138
139,0.2243372,0.73935,139
140,0.35230517,0.58546424,140
141,0.40410355,0.72938687,141
142,0.88895226,0.43661842,142
143,0.44559622,0.51423395,143
144,0.38833258,0.6786489,144
145,0.35927075,0.80875677,145
146,0.6684147,0.3355047,146
147,0.99206924,0.23337379,147
148,0.67697024,0.67622226,148
149,0.3270185,0.36860663,149
150,0.5843313,0.7418374,150
151,0.5152544,0.7704364,151
152,0.76590633,0.6998453,152
153,0.479407,0.455454,153
154,0.5801288,0.5459281,154
155,0.8909229,0.675796,155
156,1.039425,0.7241825,156
157,0.5668068,0.5496666,157
158,0.7560465,0.46362677,158
159,0.31739178,0.32260075,159
160,0.69495475,0.54291654,160
161,0.6058065,0.35429406,161
162,0.31899574,0.7909903,162
163,0.83478487,0.7477108,163
164,0.4222023,0.8853683,164
165,0.49593642,0.54112905,165
166,0.35885364,0.6426829,166
167,0.24043885,0.35895047,167
168,0.23061079,0.7460761,168
169,0.3016312,0.25386393,169
170,0.34340352,0.79665595,170
171,0.3878902,0.43478456,171
172,0.47464234,0.64055973,172
173,0.68538755,0.7466888,173
174,0.33460212,0.5409938,174
175,0.6667129,0.1748605,175
176,0.8347415,0.6079907,176
177,0.332978,0.8167491,177
178,0.6243825,0.27418983,178
179,0.45886382,0.83825725,179
180,0.7120817,0.85777825,180
181,0.51573205,0.43292233,181
182,0.6063005,0.6294162,182
183,0.51093066,0.6938266,183
184,0.23799153,0.39778742,184
185,0.7958654,0.71049076,185
186,0.45802796,0.32211152,186
187,0.30715403,0.44150522,187
188,0.72104865,0.65268856,0
189,0.42709583,0.38717487,1
190,0.70311034,0.09736737,2
191,0.43640763,0.76024723,3
192,0.4072298,0.5698332,4
193,0.5547226,0.63697726,5
194,0.5518424,0.46217886,6
195,0.34016633,0.8016178,7
196,0.5727512,0.7009888,8
197,0.6490204,0.6636582,9
198,0.3988977,0.6072897,10
199,0.5642123,0.55670524,11
200,0.3928752,0.69364095,12
201,0.43095154,0.8231948,13
202,0.3220206,0.21442579,14
203,0.62690145,0.4855022,15
204,0.78884846,0.6765643,16
205,0.98329955,0.66972256,17
206,0.5922774,0.9505114,18
207,0.25822118,0.63864857,19
208,0.605543,0.46045247,20
209,0.22072062,0.37369353,21
210,0.6877544,0.40222552,22
211,0.46439648,0.060767964,23
212,0.5303417,0.44508946,24
213,0.34102952,0.8308928,25
214,0.2496239,0.43515804,26
215,0.38118148,0.59127724,27
216,0.4236896,0.43992382,28
217,0.31652302,0.3634945,29
218,0.69789696,0.66110003,30
219,0.61571014,0.703191,31
220,0.2781728,0.5548769,32
221,0.44165072,0.40863013,33
222,0.41198307,0.38945687,34
223,0.30930918,0.80191845,35
224,0.3963058,0.41261232,36
225,0.1783928,0.63023376,37
226,0.52865213,0.45935214,38
227,0.39542374,0.35659373,39
228,0.6212689,0.5882765,40
229,0.3543865,0.60218376,41
230,0.67077804,0.68835217,42
231,0.25481862,0.5852681,43
232,0.37584412,0.42282492,44
233,0.6764073,0.71791154,45
234,0.41706946,0.7568729,46
235,0.92762434,0.687825,47
236,0.3678679,0.44867328,48
237,0.36170068,0.4091162,49
238,0.24280943,0.7023326,50
239,0.49368176,0.49134752,51
240,0.21355635,0.5233184,52
241,0.4446508,0.3325465,53
242,0.4973241,0.4114006,54
243,0.4060374,0.909912,55
244,0.5499845,0.7434405,56
245,0.7455602,0.7641024,57
246,0.38664627,0.803288,58
247,0.670529,0.2642967,59
248,1.437182,0.8619751,60
249,0.38687658,0.64895177,61
250,0.19120285,0.482708,62
251,0.37993553,0.45890594,63
252,0.37140512,0.35150295,64
253,0.26765156,0.1439523,65
254,0.45265847,0.5974725,66
255,0.46917495,0.6865454,67
256,0.5259144,0.22595733,68
257,0.1402218,0.48385456,69
258,0.8218613,0.6149094,70
