,policy rate,reward rate,dec temp,habitual tendency,cached weight,cached rate,subject
123,0.123504855,0.24029571,0.3887793,2.4170127,1.2156881,0.11813719,123
124,0.12147809,0.41237533,0.31114873,2.373642,1.5332974,0.48553008,124
125,0.2245787,0.0030027437,0.48293853,3.0948324,1.3961769,0.49547777,125
126,0.30632564,0.7846021,0.7974875,2.309815,0.88159156,0.5321059,126
127,0.5852549,0.9829736,0.55124557,3.582946,1.6371915,0.6754401,127
128,0.039892197,0.3125932,0.6279113,1.6775134,0.5613511,0.75577945,128
129,0.1709201,0.15590927,0.40420148,2.3191376,1.251132,0.23637411,129
130,0.1580817,0.99979323,0.6481458,2.2048006,0.89784956,0.28146422,130
131,0.03456574,0.8814175,0.4024242,1.9832481,0.991784,0.26609457,131
132,0.09216829,0.075573266,2.328818,2.014295,0.8752122,0.17284727,132
133,0.1378011,0.082607105,1.0161076,2.2405097,0.5705634,0.16737014,133
134,0.11828167,0.0078943,0.6434745,2.1566393,0.7491565,0.6579861,134
135,0.2977489,0.7913195,1.2056134,2.647555,2.4613495,0.4181668,135
136,0.30847815,0.3204912,0.97223485,1.9776671,1.3740271,0.17733197,136
137,0.04097095,0.99988306,0.6634004,1.6891922,0.9515959,0.1760149,137
138,0.062376462,0.005600373,1.703851,2.4719582,2.6244235,0.071288124,138
139,0.08452046,0.9722686,1.4048733,2.0527003,1.7373056,0.7064836,139
140,0.2347935,0.00023524615,0.9430963,2.6099346,1.0366902,0.14523157,140
141,0.570869,0.09878991,1.4143515,1.2353547,0.98896176,0.708925,141
142,0.17455205,0.073537946,0.55318725,2.2993944,1.3281257,0.24766478,142
143,0.3267448,0.020610701,1.9564624,2.2442806,0.97137785,0.3915577,143
144,0.09473821,0.14865783,1.1036825,2.0816514,1.6357338,0.09520067,144
145,0.6257442,0.009535105,1.2241756,2.7340288,0.5711169,0.33967707,145
146,0.39385962,0.017075839,0.3443168,1.4545953,1.4349769,0.28304964,146
147,0.27979934,0.34160972,1.3355625,1.1135609,0.38124233,0.35555086,147
148,0.27751842,0.0021198157,3.8022532,1.9347447,0.68104804,0.840079,148
149,0.38026962,0.00863779,1.9834208,2.411861,0.36331457,0.7327088,149
150,0.12468157,0.014561742,0.723153,2.4087224,0.9034756,0.36405867,150
