,inferred dec temp,subject,inferred reward rate,inferred habitual tendency,inferred policy rate,inferred cached weight,inferred cached rate
56,2.0507731,56,0.9008831,2.2640705,0.2353172,0.8194142,0.54188526
57,8.385936,57,0.017317269,2.1584785,0.061176926,0.859787,0.25629604
58,2.590064,58,0.46625286,3.9479547,0.16010052,0.8813304,0.4155605
59,1.4261434,59,0.70711565,1.7566421,0.090765685,0.6878297,0.13387978
60,0.4941485,60,0.6966639,1.3267957,0.029260792,0.7277086,0.28951532
61,7.226498,61,0.021605583,4.9511833,0.028330376,0.7562073,0.34085113
62,0.84963465,62,0.45489758,2.8139877,0.50435686,0.63842976,0.680336
63,0.91864634,63,0.74183804,2.2104478,0.29645696,0.7289769,0.6914655
64,0.749271,64,0.15140633,1.9556035,0.15289044,0.62551457,0.5343146
65,6.197917,65,0.38018623,2.1908364,0.034783095,0.9814213,0.19713114
66,0.91056466,66,0.5978733,2.0919316,0.071635954,0.81804353,0.36512348
67,2.6386266,67,0.4879765,4.163526,0.17080182,0.95463455,0.3976119
68,0.50228584,68,0.42755425,1.6067375,0.03628711,0.74921125,0.19618982
69,3.0569868,69,0.44303465,2.5972047,0.4997996,0.7766658,0.7420409
70,0.663223,70,0.46916187,1.8936604,0.21427102,1.6292839,0.15256462
71,1.1194705,71,0.8302488,1.8916886,0.12758276,0.7052819,0.26353478
72,2.791292,72,0.5707489,1.8184456,0.07165309,0.72723144,0.2045618
73,7.31972,73,0.03643059,2.368003,0.10678316,0.6554784,0.43666506
74,2.591931,74,0.171186,2.6602669,0.45704877,0.6532583,0.26915053
75,4.2998877,75,0.409906,2.535283,0.2513846,0.5785385,0.5206381
76,3.2290335,76,0.8764135,1.8048631,0.16259623,0.52520657,0.5936814
77,7.8126297,77,0.044215072,2.179534,0.14738394,1.0747354,0.29671887
78,0.9962254,78,0.28738776,2.13196,0.227763,0.7617814,0.35343495
79,0.7390497,79,0.11227192,1.8337246,0.20549068,0.7069396,0.49006593
80,3.4523427,80,0.7616245,1.5452724,0.024866695,0.96857864,0.14400995
81,1.5341456,81,0.7220691,1.457633,0.6253423,1.30565,0.8591157
