,inferred dec temp,subject,inferred reward rate,inferred cached weight,inferred cached rate
61,1.8863838,61,0.7226177,1.6450576,0.6031445
62,2.5577755,62,0.17241168,1.6902119,0.6733136
63,4.5558767,63,0.7217865,1.8109158,0.6772416
64,3.4059725,64,0.15994479,1.7632815,0.68681884
65,3.5567682,65,0.42367673,1.9531963,0.47992745
66,5.3681846,66,0.377319,1.7366638,0.6908594
67,5.361833,67,0.566323,1.9597236,0.5536915
68,2.7785382,68,0.2998204,1.8621707,0.33179048
69,1.8091915,69,0.5200905,1.8049519,0.6710656
70,2.0166452,70,0.7150404,1.7415699,0.30761462
71,5.187459,71,0.147754,1.8259788,0.65051687
72,3.552352,72,0.61551124,1.6398499,0.5396252
73,2.6388822,73,0.27211985,1.7128667,0.61007166
74,3.2420259,74,0.25796697,1.6849651,0.6628916
75,2.3823154,75,0.18639237,1.7356223,0.64350283
76,2.2578135,76,0.6037911,1.7679472,0.54278517
77,2.7955127,77,0.42291087,1.7068444,0.6998436
78,3.9372218,78,0.15940045,1.899986,0.6705697
79,2.349331,79,0.6676981,1.8045253,0.3507912
80,4.6768484,80,0.24051179,1.8072963,0.62510085
81,5.0999365,81,0.71500236,1.8326302,0.6523749
82,5.281441,82,0.4129439,1.8557744,0.52472013
83,4.8742404,83,0.50947016,1.9083315,0.6317625
84,3.9071498,84,0.15179461,1.7085705,0.6768519
85,3.6492732,85,0.6676777,1.7362845,0.69150746
86,4.9685216,86,0.21376015,1.8019181,0.6513816
87,2.4060438,87,0.63418996,1.7280813,0.7190146
88,5.0841694,88,0.41312373,1.9023113,0.7213618
89,2.8562298,89,0.20057108,1.6548452,0.46079195
90,2.05726,90,0.65765953,1.7632972,0.6498141
91,3.0526152,91,0.65465224,1.8209807,0.5642096
92,2.178307,92,0.6792376,1.7777647,0.6753815
93,2.4494197,93,0.60138255,1.7956905,0.6704805
94,3.265815,94,0.18169986,1.7492291,0.688033
95,4.5746126,95,0.59035975,1.9306034,0.6193771
96,2.965669,96,0.23356353,1.8218294,0.61139774
97,2.0220675,97,0.34532946,1.9727407,0.61887515
98,2.494703,98,0.3770985,1.7820113,0.70418453
99,2.1330514,99,0.62422764,1.642221,0.61449265
100,7.2221837,100,0.50442046,1.6732264,0.2940346
101,2.1098661,101,0.16629882,1.6188238,0.65815306
102,2.6697664,102,0.6801821,1.8659335,0.6362249
