,discount,learning rate,dec temp,weight,prior weight,prior lr,subject
44,0.89107984,0.96512,3.276195,0.24072623,0.43673027,0.25166085,20
45,0.6267241,0.98439884,1.4329671,0.8984157,0.43411455,0.45376366,21
46,0.050878152,0.9642067,1.8462183,0.8091819,0.4659649,0.2625022,22
47,0.9641266,0.8054656,3.102665,0.5107357,1.377564,0.04768432,23
48,0.91859365,0.9117754,5.583633,0.8836215,0.20792627,0.2456822,0
49,0.52251107,0.15224023,1.2774076,0.7239365,0.8722613,0.31105456,1
50,0.9840741,0.95527655,2.706864,0.9513822,0.521826,0.07996366,2
51,0.9132902,0.9371515,2.0765755,0.6901496,1.0276895,0.86252874,3
52,0.65266955,0.936285,2.3468392,0.40811366,0.51344824,0.20098731,4
53,0.64298975,0.8936989,4.8051205,0.95279413,0.28576288,0.3621042,5
54,0.6683596,0.2827723,5.094022,0.33807936,2.0104861,0.03389618,6
55,0.12149253,0.5124102,1.019712,0.9519212,1.1217014,0.05692784,7
56,0.4283699,0.6300028,2.8070319,0.928467,0.7726084,0.064888045,8
57,0.13636169,0.9586171,5.491329,0.957041,1.5632308,0.011495496,9
58,0.26187593,0.7034712,3.638112,0.83279395,1.6198794,0.04664455,10
59,0.52570623,0.9539488,1.461266,0.804697,0.4605225,0.34653553,11
60,0.8082362,0.91204,4.3235526,0.9364796,0.40633938,0.19475028,12
61,0.47875336,0.9360644,3.3365397,0.9314774,0.7426102,0.09275517,13
62,0.9711071,0.9602281,3.4515631,0.4794174,2.1786423,0.07188075,14
63,0.787747,0.9485112,4.328763,0.9824342,1.9744477,0.0253915,15
64,0.6448108,0.9781798,0.5378697,0.9511126,1.2394242,0.06793133,16
65,0.769689,0.4714828,0.22430137,0.7916978,1.9371173,0.014673427,17
66,0.86961347,0.7215503,2.1019015,0.7663122,1.6024587,0.6424731,18
67,0.060275353,0.96528715,2.1331282,0.9741256,0.51730216,0.11976257,19
68,0.8424282,0.8271314,4.435977,0.61893624,0.18577643,0.8586778,20
69,0.97171366,0.96371686,1.6046689,0.57285714,0.35183436,0.06677684,21
70,0.8764901,0.89000666,1.7716073,0.9972932,0.5258617,0.1793732,22
71,0.98430115,0.8759579,3.416022,0.8571633,1.4860615,0.036289196,23
72,0.62957716,0.9043245,5.104253,0.8819241,0.48445764,0.15826207,0
73,0.37758842,0.15411526,1.842313,0.86457205,0.5790962,0.16517636,1
74,0.4067525,0.9202603,3.8222384,0.91033363,0.3042771,0.057315532,2
75,0.79259723,0.9377499,2.6149602,0.940467,1.4084076,0.6254316,3
76,0.7885766,0.9937388,2.8785472,0.4485727,1.0368929,0.0055265226,4
77,0.11012914,0.95948166,4.2480316,0.97708046,2.5041552,0.050947748,5
78,0.9533355,0.22368948,4.480463,0.43855518,1.7704394,0.0587647,6
79,0.2875918,0.5784768,2.2679315,0.6765899,0.1826339,0.6130341,7
80,0.0067781564,0.87568957,2.4100456,0.81627625,0.50041056,0.1545409,8
81,0.54653585,0.92094916,5.784931,0.95763874,0.9445079,0.02604882,9
82,0.29910603,0.8692688,2.653185,0.933389,2.1530833,0.06111739,10
83,0.15707652,0.984643,1.1814117,0.6775777,0.5651301,0.19012167,11
84,0.1990873,0.81287664,4.5699453,0.87453574,0.2963369,0.41579303,12
85,0.48965877,0.82821494,3.6131265,0.9810848,0.6092751,0.35768542,13
86,0.82019335,0.71048295,3.6430593,0.09766325,2.2873805,0.0786316,14
87,0.0836855,0.95794255,5.49253,0.98346555,0.7409977,0.07310577,15
88,0.14093876,0.894822,0.74974215,0.87139016,0.31680498,0.13037091,16
89,0.72737503,0.13223769,0.6031003,0.62115616,0.67037547,0.06378585,17
90,0.9589719,0.6452828,3.0227866,0.9863973,1.4794227,0.72419226,18
91,0.5359584,0.92082673,2.0793335,0.96143824,1.1690602,0.07107153,19
92,0.96858126,0.9516356,3.7567878,0.63638836,1.0093877,0.10239673,20
93,0.49763468,0.91245097,1.3447617,0.93787664,0.281246,0.4332793,21
94,0.24385051,0.90444034,1.7586207,0.927859,0.51828915,0.10714824,22
95,0.7791571,0.74645615,3.7009816,0.52506816,1.2345966,0.027364682,23
96,0.40329668,0.931145,5.633788,0.88823557,0.37378806,0.13761882,0
97,0.0442568,0.109192945,1.3707514,0.13518025,0.738164,0.11998869,1
98,0.14532419,0.97639525,3.274322,0.96643174,1.306031,0.059658125,2
99,0.47298592,0.8604045,2.6816816,0.9195177,1.0380553,0.84386086,3
100,0.8362316,0.9382154,2.5163252,0.39634264,0.3149041,0.4485999,4
101,0.8149172,0.9396136,5.02958,0.86991584,1.2715831,0.0783108,5
102,0.9625953,0.22420992,5.108802,0.4388753,1.1183145,0.15175611,6
103,0.61887556,0.13555083,1.9458416,0.95686525,2.4158816,0.051533666,7
104,0.07976598,0.9425672,1.6412024,0.86105406,0.9310297,0.06315212,8
105,0.63118196,0.9402665,5.543433,0.9792889,0.86513954,0.06237849,9
106,0.7203518,0.92393416,2.187936,0.9161009,1.3589057,0.112478584,10
107,0.92483747,0.96755344,1.5743783,0.47217855,0.49617887,0.17507254,11
108,0.9035656,0.88484335,4.408581,0.9424372,0.3625154,0.31695536,12
