,inferred mb weight,true mb weight,subject,inferred discount,true discount,inferred mf weight,true mf weight,inferred learning rate,true learning rate,inferred prior lr,true prior lr,inferred prior weight,true prior weight
130,2.8765802,2.3457491,130,0.52682537,0.85011005,3.1236951,5.6447177,0.32630157,0.2814842,0.5048898,0.5819566,4.6097727,5.7820916
131,3.1680045,5.5010967,131,0.48141655,0.45653468,2.9842641,3.6155512,0.07793749,0.052383423,0.3407141,0.7570145,3.554269,1.7015516
132,2.9274375,0.93541,132,0.49760005,0.14531708,3.172769,2.5793977,0.31731558,0.263421,0.66357875,0.5585629,4.5943117,5.8351874
133,3.0672333,3.3594947,133,0.5895916,0.38290924,3.7094922,5.2703495,0.36072204,0.39960873,0.3784198,0.29434174,3.1496575,3.5527735
134,0.5622095,1.1043102,134,0.5359436,0.45386052,0.6225966,0.53262377,0.31920123,0.27970386,0.13233219,0.09941667,3.5912895,3.1724262
135,3.091227,4.5846825,135,0.6101439,0.6886052,3.5652292,3.895648,0.6711644,0.744977,0.3097767,0.29983652,1.4251503,1.4548309
136,2.5203102,1.9346913,136,0.7819299,0.8878435,4.4578443,5.872245,0.69060105,0.69588464,0.5000289,0.21256995,0.9082785,0.28487742
137,0.98807156,1.396554,137,0.51547253,0.7171439,1.2986097,0.5986433,0.14491718,0.12266326,0.5307887,0.920235,4.0757422,4.3255806
138,2.2395108,1.5107403,138,0.648724,0.9207233,3.3289218,3.1301308,0.24217843,0.19063824,0.39326972,0.5305776,1.171314,0.6327646
139,1.6317415,1.1519054,139,0.62907976,0.23561692,2.824797,1.9669919,0.8184136,0.7651199,0.056292642,0.09596866,3.5647173,2.681664
140,3.3960376,2.7795682,140,0.39297464,0.030720472,2.4753153,0.7036607,0.5149392,0.5042764,0.6157299,0.61660147,4.227618,5.09105
141,3.7252202,5.371891,141,0.33257544,0.122544706,1.4895583,1.4059521,0.82553184,0.9809512,0.33409187,0.9273157,0.7218812,0.49818492
142,2.258102,1.8932304,142,0.59034055,0.5772311,3.127485,2.9133272,0.6819551,0.6596881,0.25145432,0.2790529,3.8652246,4.5751615
143,4.93903,4.833317,143,0.2638394,0.017047584,1.7804903,4.0251527,0.49201295,0.6671994,0.24954249,0.16750348,1.7924236,2.6447234
144,2.1443324,1.6427736,144,0.7143104,0.44104177,3.904824,5.602007,0.45234832,0.45538694,0.4610638,0.17894793,1.2549917,1.3506482
