,inferred mb weight,subject,inferred discount,inferred mf weight,inferred learning rate,inferred prior lr,inferred prior weight
158,0.4489444,158,0.20881961,0.5371107,0.7521675,0.17181095,0.8103023
159,0.39735085,159,0.2079784,0.4949957,0.71404994,0.16763757,0.722776
160,0.49025476,160,0.2168782,0.66076005,0.73207116,0.19043444,0.75906396
161,0.6744958,161,0.2094603,0.8017233,0.76708215,0.16366385,0.7309423
162,0.5999861,162,0.2158056,0.73843795,0.60392064,0.14775455,0.8711429
163,0.47605115,163,0.20035143,0.61088824,0.7517251,0.14067502,0.74011475
164,0.49649742,164,0.19741786,0.6866664,0.77934164,0.14958341,0.8047377
165,0.68394876,165,0.15733084,0.9484614,0.46433586,0.1409596,0.9449447
166,0.5780842,166,0.17557892,0.68717605,0.7190648,0.16372326,0.7454004
167,0.541619,167,0.17285776,0.8104111,0.6748506,0.12615612,1.1695918
168,0.4705218,168,0.18255153,0.59254515,0.70638037,0.17518589,0.7569454
169,0.40261704,169,0.20488879,0.5281753,0.753744,0.16000412,0.7972227
170,0.54024285,170,0.15995313,0.6671633,0.80484766,0.1646823,0.7528372
171,0.5987404,171,0.170775,0.7157535,0.64461744,0.17046356,0.8082197
172,0.51959205,172,0.21037748,0.67846316,0.7128157,0.14592652,0.9052235
173,0.45227498,173,0.2008478,0.70221615,0.63508856,0.17768562,0.79039603
174,0.54562974,174,0.20410925,0.6556532,0.7271923,0.17478378,0.71879655
175,0.4648218,175,0.21179172,0.5845894,0.62522095,0.14213954,1.1354767
176,0.5093218,176,0.2149174,0.6886073,0.7448362,0.1705705,0.7386272
177,0.6185785,177,0.1879792,0.6804362,0.73054993,0.15813121,0.7683219
178,0.56187356,178,0.21290201,0.6177828,0.63648355,0.16627988,0.7706067
179,0.4035868,179,0.22496922,0.5214686,0.74167883,0.15688129,0.7556949
180,0.3805985,180,0.20485863,0.45188782,0.74894863,0.15951179,0.7765347
181,0.53103393,181,0.18815814,0.70912004,0.69202197,0.17122662,0.77929884
182,0.53569245,182,0.19842461,0.62905735,0.7381555,0.1533741,0.80975306
183,0.48533764,183,0.19584623,0.7010724,0.7648943,0.1416027,0.84328324
184,0.55066943,184,0.20928238,0.7184855,0.7602105,0.17402121,0.75129974
185,0.3808235,185,0.18154196,0.48639113,0.7760157,0.16903314,0.7765207
186,0.64108676,186,0.21693473,0.7793485,0.69871193,0.15353158,0.8217709
187,0.54959375,187,0.17343387,0.68684447,0.7822478,0.14993536,0.7504814
