,inferred mb weight,subject,inferred discount,inferred mf weight,inferred learning rate,inferred prior lr,inferred prior weight
24,0.89621747,24,0.18615131,0.8791384,0.6788965,0.17127903,0.8236999
25,2.152275,25,0.55253345,1.6730101,0.551817,0.32075745,0.7507509
26,0.41778693,26,0.3267396,0.5428642,0.65586936,0.1992684,0.88118345
27,3.7453945,27,0.28941107,2.0380335,0.61587036,0.25738811,0.81133324
28,0.5078033,28,0.38215676,0.6410327,0.67868865,0.1945442,0.8848684
29,0.6639211,29,0.22541448,1.3054439,0.6353193,0.21411933,1.0008155
30,0.7270586,30,0.47404206,1.6907214,0.572103,0.2726065,0.8029433
31,0.687646,31,0.16331467,1.0942986,0.51078945,0.1379355,1.0550044
32,0.7554602,32,0.22945106,0.85149276,0.69813085,0.23881915,0.73552215
33,1.2155048,33,0.4161306,1.2996399,0.73565924,0.079990335,1.8566624
34,0.3802163,34,0.19448823,0.5476969,0.66801137,0.17514251,0.8020011
35,0.55617857,35,0.54853845,1.2260371,0.6138714,0.71085054,1.2285247
36,0.59411913,36,0.24206275,0.7629669,0.6603695,0.21722683,0.947633
37,0.8436729,37,0.6013328,1.3152937,0.547521,0.12683171,1.0727998
38,0.7279379,38,0.6183187,0.971947,0.59157044,0.29036227,1.1469243
39,0.68578166,39,0.22422132,1.4431546,0.45917246,0.24507278,1.0814441
40,0.46051526,40,0.64334714,0.97552216,0.7192372,0.24330282,0.695784
41,0.55146515,41,0.20724887,0.67578214,0.66879094,0.19923547,0.77502084
42,0.65193677,42,0.4133235,0.8194485,0.57402235,0.21297993,1.3959937
43,2.120588,43,0.49107954,2.4216533,0.7048527,0.20505694,0.7238833
44,0.5937019,44,0.24693522,0.75848204,0.6200786,0.18794343,0.7584243
45,1.096337,45,0.5114327,1.4857444,0.70549244,0.18190521,0.73071295
46,1.4168649,46,0.40003818,1.1124703,0.5966303,0.36628905,0.7748255
47,1.6430354,47,0.36933532,1.5593829,0.51835763,0.58107305,0.66862434
48,0.6496825,48,0.54946697,1.7603211,0.7276333,0.254732,0.69200194
49,1.2489815,49,0.32025462,1.1951371,0.5073947,0.19277695,0.7201912
50,1.4603347,50,0.4438041,1.2735409,0.6558335,0.23996744,0.748847
51,0.5376877,51,0.22105737,0.6670715,0.6799086,0.17276481,0.71511376
52,2.256732,52,0.2671697,1.2073637,0.6193131,0.21279636,0.7534
53,0.806442,53,0.2572029,1.0422806,0.6206404,0.20459718,0.7791367
54,0.871447,54,0.5347062,1.1183975,0.6985821,0.24056748,0.9381082
55,1.0307927,55,0.18618798,1.1466902,0.65842235,0.18025753,0.7163536
56,1.6317593,56,0.38743097,1.9624189,0.6252224,0.5289628,0.7101201
57,0.87609005,57,0.5170416,1.6140435,0.562093,0.43840832,1.9483135
58,2.2795327,58,0.5500741,2.3443575,0.70704687,0.24582404,0.69695497
59,2.364036,59,0.47360706,1.2849355,0.52884805,0.26794207,1.2707396
60,1.0302788,60,0.27594414,1.0188316,0.6746636,0.2015644,0.755026
61,1.3878465,61,0.29778197,2.5748847,0.5492094,0.26280552,0.98292387
62,1.1003461,62,0.31132093,0.7725708,0.7458227,0.17600851,0.77984434
63,0.82990396,63,0.3136206,0.9765451,0.6727271,0.31594488,0.7076959
64,1.0304756,64,0.407152,2.4472601,0.5548118,0.51671636,0.6618953
65,1.0142304,65,0.38464582,1.0548941,0.72907406,0.20039742,0.7309012
66,2.2790835,66,0.5429015,1.7740928,0.53681326,0.793394,0.9887747
67,1.5352356,67,0.5420056,2.0384874,0.6118496,0.08063,1.463615
68,0.98678184,68,0.20771565,1.3816099,0.5675709,0.22849154,0.80177826
69,0.4845683,69,0.257542,0.61804676,0.57122755,0.20969856,0.9418268
70,1.6164496,70,0.51825154,1.6129873,0.68241096,0.255584,0.65478677
71,0.8406399,71,0.46823025,0.85113704,0.7573396,0.13271789,0.968297
72,2.6608257,72,0.31801215,1.082982,0.8217177,0.17187141,0.7083173
73,1.3980213,73,0.46134895,1.1183071,0.6244477,0.3780121,0.8880203
74,2.412561,74,0.5087683,2.1927185,0.57860965,0.33550262,0.80525035
75,0.97913784,75,0.23522533,1.0055858,0.7790448,0.19444293,0.70516604
76,0.8927327,76,0.41016802,1.0185276,0.5172906,0.41114414,0.86639076
77,3.930097,77,0.29450646,0.9095142,0.8393436,0.15274228,0.8188891
78,0.7125381,78,0.30435714,0.9317542,0.6578375,0.17458984,0.80300856
79,0.88646984,79,0.17503323,1.2044489,0.7487941,0.15153906,0.79198915
80,0.7922067,80,0.3638206,1.5680103,0.59233165,0.49568325,0.9533288
81,3.6630492,81,0.27564776,1.5022138,0.7664704,0.19762684,0.6526571
82,0.35301697,82,0.26197174,0.44382155,0.7263509,0.17098364,0.8229567
83,1.8282536,83,0.34493843,0.9874375,0.7577397,0.17170669,0.81654555
84,0.3736705,84,0.23603964,0.48648506,0.6885282,0.16116807,0.79976034
85,0.7314844,85,0.18118167,1.5192708,0.6259208,0.1908045,0.679126
86,0.71154284,86,0.40588543,0.91519797,0.64990675,0.23259382,0.78629667
87,3.0242002,87,0.4942874,1.8033776,0.56076217,0.25691515,0.66157174
88,0.7885104,88,0.36621764,1.0118545,0.57298875,0.10081601,1.7736657
